,Show,Season,Rating
2015,The Mary Tyler Moore Show,7,7.4
2016,The Mary Tyler Moore Show,7,8.0
2017,The Mary Tyler Moore Show,7,8.1
2018,The Mary Tyler Moore Show,7,9.4
2019,Taxi,1,7.5
2020,Taxi,1,7.1
2021,Taxi,1,7.5
2022,Taxi,1,7.0
2023,Taxi,1,7.3
2024,Taxi,1,7.0
2025,Taxi,1,8.0
2026,Taxi,1,7.9
2027,Taxi,1,6.8
2028,Taxi,1,7.3
2029,Taxi,1,8.4
2030,Taxi,1,7.6
2031,Taxi,1,6.9
2032,Taxi,1,7.5
2033,Taxi,1,7.2
2034,Taxi,1,7.5
2035,Taxi,1,6.9
2036,Taxi,1,7.5
2037,Taxi,1,7.5
2038,Taxi,1,7.1
2039,Taxi,1,7.0
2040,Taxi,1,7.3
2041,Taxi,2,7.6
2042,Taxi,2,7.4
2043,Taxi,2,9.2
2044,Taxi,2,7.2
2045,Taxi,2,6.9
2046,Taxi,2,7.0
2047,Taxi,2,7.2
2048,Taxi,2,8.1
2049,Taxi,2,8.0
2050,Taxi,2,7.1
2051,Taxi,2,7.4
2052,Taxi,2,7.9
2053,Taxi,2,8.0
2054,Taxi,2,7.8
2055,Taxi,2,6.7
2056,Taxi,2,6.6
2057,Taxi,2,7.5
2058,Taxi,2,6.9
2059,Taxi,2,7.6
2060,Taxi,2,7.9
2061,Taxi,2,7.2
2062,Taxi,2,7.7
2063,Taxi,2,7.2
2064,Taxi,2,7.3
2065,Taxi,3,7.4
2066,Taxi,3,8.3
2067,Taxi,3,7.3
2068,Taxi,3,8.0
2069,Taxi,3,8.6
2070,Taxi,3,6.9
2071,Taxi,3,7.8
2072,Taxi,3,8.2
2073,Taxi,3,7.6
2074,Taxi,3,7.3
2075,Taxi,3,7.6
2076,Taxi,3,7.2
2077,Taxi,3,7.9
2078,Taxi,3,7.1
2079,Taxi,3,6.8
2080,Taxi,3,7.6
2081,Taxi,3,7.1
2082,Taxi,3,7.5
2083,Taxi,3,7.2
2084,Taxi,3,8.3
2085,Taxi,4,8.6
2086,Taxi,4,6.3
2087,Taxi,4,7.9
2088,Taxi,4,7.6
2089,Taxi,4,7.6
2090,Taxi,4,7.3
2091,Taxi,4,7.3
2092,Taxi,4,7.0
2093,Taxi,4,6.9
2094,Taxi,4,8.0
2095,Taxi,4,7.7
2096,Taxi,4,7.3
2097,Taxi,4,6.6
2098,Taxi,4,7.3
2099,Taxi,4,6.9
2100,Taxi,4,7.2
2101,Taxi,4,7.3
2102,Taxi,4,8.0
2103,Taxi,4,6.8
2104,Taxi,4,8.8
2105,Taxi,4,7.1
2106,Taxi,4,8.2
2107,Taxi,4,7.9
2108,Taxi,4,7.5
2109,Taxi,5,7.6
2110,Taxi,5,8.3
2111,Taxi,5,7.7
2112,Taxi,5,7.4
2113,Taxi,5,7.5
2114,Taxi,5,7.5
2115,Taxi,5,7.2
2116,Taxi,5,7.3
2117,Taxi,5,6.6
2118,Taxi,5,7.4
2119,Taxi,5,7.3
2120,Taxi,5,7.3
2121,Taxi,5,7.5
2122,Taxi,5,7.7
2123,Taxi,5,6.8
2124,Taxi,5,6.5
2125,Taxi,5,6.6
2126,Taxi,5,7.5
2127,Taxi,5,7.8
2128,Taxi,5,7.5
2129,Taxi,5,7.1
2130,Taxi,5,8.1
2131,Taxi,5,8.1
2132,Taxi,5,7.4
2133,30 Rock,1,7.3
2134,30 Rock,1,7.6
2135,30 Rock,1,7.9
2136,30 Rock,1,7.6
2137,30 Rock,1,8.1
2138,30 Rock,1,7.7
2139,30 Rock,1,8.3
2140,30 Rock,1,7.8
2141,30 Rock,1,8.0
2142,30 Rock,1,8.0
2143,30 Rock,1,8.1
2144,30 Rock,1,8.5
2145,30 Rock,1,8.0
2146,30 Rock,1,7.9
2147,30 Rock,1,8.4
2148,30 Rock,1,7.9
2149,30 Rock,1,7.9
2150,30 Rock,1,8.2
2151,30 Rock,1,7.8
2152,30 Rock,1,8.0
2153,30 Rock,1,8.2
2154,30 Rock,2,8.3
2155,30 Rock,2,8.0
2156,30 Rock,2,7.8
2157,30 Rock,2,8.1
2158,30 Rock,2,8.3
2159,30 Rock,2,8.2
2160,30 Rock,2,8.1
2161,30 Rock,2,7.9
2162,30 Rock,2,8.2
2163,30 Rock,2,8.0
2164,30 Rock,2,8.4
2165,30 Rock,2,7.8
2166,30 Rock,2,8.4
2167,30 Rock,2,8.1
2168,30 Rock,2,8.5
2169,30 Rock,3,8.2
2170,30 Rock,3,8.5
2171,30 Rock,3,8.0
2172,30 Rock,3,8.1
2173,30 Rock,3,8.6
2174,30 Rock,3,7.8
2175,30 Rock,3,8.1
2176,30 Rock,3,7.8
2177,30 Rock,3,8.0
2178,30 Rock,3,8.6
2179,30 Rock,3,8.2
2180,30 Rock,3,8.1
2181,30 Rock,3,8.1
2182,30 Rock,3,8.3
2183,30 Rock,3,8.1
2184,30 Rock,3,8.5
2185,30 Rock,3,7.7
2186,30 Rock,3,8.0
2187,30 Rock,3,8.0
2188,30 Rock,3,7.9
2189,30 Rock,3,8.1
2190,30 Rock,3,8.7
